,weight,target,source
0,4,room,living
1,4,watch,living
2,4,older,living
3,4,familiar,living
4,4,enhancing,living
5,4,everywhere,living
6,4,watch,room
7,4,older,room
8,4,familiar,room
9,4,enhancing,room
10,4,everywhere,room
11,4,moving,way
12,4,suit,way
13,4,generations,way
14,4,showcased,way
15,4,watching,way
16,4,moving,people
17,4,way,people
18,4,suit,people
19,4,generations,people
20,4,showcased,people
21,4,watching,people
22,3,google,technologies
23,3,engine,technologies
24,3,google,impact
25,3,engine,impact
26,3,new,book
27,3,one,book
28,3,new,search
29,3,one,search
30,4,room,recognised
31,4,watch,recognised
32,4,older,recognised
33,4,familiar,recognised
34,4,enhancing,recognised
35,4,everywhere,recognised
36,4,room,older
37,4,watch,older
38,4,familiar,older
39,4,enhancing,older
40,4,everywhere,older
41,4,moving,generations
42,4,way,generations
43,4,suit,generations
44,4,showcased,generations
45,4,watching,generations
46,4,moving,comfortable
47,4,way,comfortable
48,4,suit,comfortable
49,4,generations,comfortable
50,4,showcased,comfortable
51,4,watching,comfortable
52,4,room,many
53,4,watch,many
54,4,older,many
55,4,familiar,many
56,4,enhancing,many
57,4,everywhere,many
58,4,room,enhancing
59,4,watch,enhancing
60,4,older,enhancing
61,4,familiar,enhancing
62,4,everywhere,enhancing
63,4,moving,watching
64,4,way,watching
65,4,suit,watching
66,4,generations,watching
67,4,showcased,watching
68,4,moving,experience
69,4,way,experience
70,4,suit,experience
71,4,generations,experience
72,4,showcased,experience
73,4,watching,experience
